Origem,Destino
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade Asa de Brumadinho/GRADUACAO/História
Faculdade Asa de Brumadinho/GRADUACAO/História,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Historia
Universidade Federal de Minas Gerais/GRADUACAO/Historia,Universidade Federal de Minas Gerais/MESTRADO/Artes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Bioquímica
Universidade Federal de São João Del-Rei/GRADUACAO/Bioquímica,Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Microbiologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,Universidade Federal de Minas Gerais/MESTRADO/Enfermagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação,Loyola University Chicago/MESTRADO/Information Technology
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Administração
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Administração,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,"Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Metalúrgica, Materiais E De Minas"
"Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Metalúrgica, Materiais E De Minas","Universidade Federal de Minas Gerais/DOUTORADO/Pós Engenharia Metalúrgica, Materiais E De Minas"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Medicina
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Medicina
Universidade Federal de Lavras/GRADUACAO/Medicina,Universidade Federal de Minas Gerais/MESTRADO/Biologia Vegetal
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade de Brasília/MESTRADO/Geotecnia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Engenharia Civil
Universidade FUMEC/GRADUACAO/Engenharia Civil,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Estruturas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Biomedicina
Universidade Federal de Minas Gerais/GRADUACAO/Biomedicina,Universidade Federal de Minas Gerais/MESTRADO/Análises Clínicas E Toxicológicas
Universidade Federal de Minas Gerais/MESTRADO/Análises Clínicas E Toxicológicas,Charite University of Medical School Berlin - Charité Universitätsmedizin B/DOUTORADO/Imunologia E Biologia Da Infecção
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Engenharia De Telecomunicações
Centro Universitário de Belo Horizonte/GRADUACAO/Engenharia De Telecomunicações,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física / Licenciatura
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física / Licenciatura
Universidade Federal de Minas Gerais/GRADUACAO/Física / Licenciatura,Universidade Federal de Minas Gerais/MESTRADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Newton Paiva/GRADUACAO/Matemática
Centro Universitário Newton Paiva/GRADUACAO/Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Letras - Português
Universidade Federal de São João Del-Rei/GRADUACAO/Letras - Português,Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura
Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de Franca/GRADUACAO/Programa Especial De Formação Pedagógica De Docentes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais - Campus III/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais - Campus III/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal do Rio de Janeiro/MESTRADO/Ppe-coppe/ufrj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Eletrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Eletrica,Instituto Tecnológico de Aeronáutica/MESTRADO/Engenharia Aeronâutica E Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Sistemas De Informação
Universidade Federal de Minas Gerais/GRADUACAO/Sistemas De Informação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal de Ouro Preto/MESTRADO/Engenharia Civil
Universidade Federal de Ouro Preto/MESTRADO/Engenharia Civil,Universidade Federal de Ouro Preto/DOUTORADO/Programa De Pós-graduação Em Engenharia Civil - Propec
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Católico de Minas Gerais/GRADUACAO/Admnistração E Ciências Contábeis
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Formação De Professores Para Currículo Especial Do
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Formação De Professores Para Currículo Especial Do,Instituto Pedagogico Latinoamericano Y Caribeno/MESTRADO/Ciências Da Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Serviço Social
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Serviço Social,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Seminário Presbiteriano Rev. Denoel Nicodemos Eller/GRADUACAO/Bacharel Em Teologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Seminário Presbiteriano Rev. Denoel Nicodemos Eller/GRADUACAO/Bacharel Em Teologia
Seminário Presbiteriano Rev. Denoel Nicodemos Eller/GRADUACAO/Bacharel Em Teologia,Centro Presbiteriano de Pós-Graduação Andrew Jumper - Mackenzie/MESTRADO/Teologia Sistemática
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Centro Federal de Educação Tecnologica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Itajubá/GRADUACAO/Engenharia Elétrica
Universidade Federal de Itajubá/GRADUACAO/Engenharia Elétrica,Universidade Federal de Itajubá/MESTRADO/Engenharia Elétrica
Universidade Federal de Itajubá/MESTRADO/Engenharia Elétrica,Universidade Federal de Itajubá/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Arquitetura E Urbanismo
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Arquitetura E Urbanismo,Universidade do Porto/MESTRADO/Planeamento E Projeto Urbano
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,Universidade Federal de Minas Gerais/MESTRADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Ciencia Da Computacao
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Ciencia Da Computacao
Universidade Federal de Ouro Preto/GRADUACAO/Ciencia Da Computacao,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Engenharia Elétrica
Centro Universitário de Belo Horizonte/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidad de Cádiz/DOUTORADO/Doctorado En Ingeniería Energética Y Sostenible
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecânica
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Administração
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Administração,Universidade Federal de Minas Gerais/MESTRADO/Saúde Pública
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Artes Visuais - Desenho
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Artes Visuais - Desenho
Universidade Federal de Minas Gerais/GRADUACAO/Artes Visuais - Desenho,Universidade Federal de Minas Gerais/MESTRADO/Artes
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro/GRADUACAO/Tecnologia Em Gestão Da Produção E Metrologia"
"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro/GRADUACAO/Tecnologia Em Gestão Da Produção E Metrologia",Pontifícia Universidade Católica do Rio de Janeiro/MESTRADO/Metrologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Internacional/GRADUACAO/Letras
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Internacional/GRADUACAO/Letras
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Internacional/GRADUACAO/Letras
Centro Universitário Internacional/GRADUACAO/Letras,Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura
Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Pós-graduação Em Estudos De Linguagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Psicologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Psicologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Psicologia
Universidade Federal de São João Del-Rei/GRADUACAO/Psicologia,Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura
Universidade Federal de São João Del-Rei/MESTRADO/Teoria Literaria E Critica Da Cultura,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Unifor-MG/GRADUACAO/Ciência Da Computação
Unifor-MG/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Insutrial Eletrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Insutrial Eletrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Insutrial Eletrica,Universidade Vale do Rio Verde de Três Corações/MESTRADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade de São Paulo/MESTRADO/Ciências Da Computação
Universidade de São Paulo/MESTRADO/Ciências Da Computação,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Da Informação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
Universidade Federal de Minas Gerais/GRADUACAO/Letras,Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Estudos Lingüísticos
